STAR_OUT,TEAM_CITY,TEAM_NAME,BENEFICIARY,SCORE,DELTA_PTS,DELTA_AST,DELTA_REB,DELTA_MIN,N_WITHOUT,LOW_SAMPLE,RANK
Josh Hart,New York,Knicks,Pacome Dadiet,4.695869218500798,1.487878787878788,-0.07575757575757576,0.6818181818181819,2.601929824561404,5,False,4
Josh Hart,New York,Knicks,Tyler Kolek,0.16177905944986637,-0.2755102040816326,-0.0775510204081632,0.22244897959183674,0.29239130434782545,5,False,5
Jrue Holiday,Boston,Celtics,Baylor Scheierman,13.355602240896356,2.007936507936508,0.4206349206349207,0.5476190476190477,10.37941176470588,12,False,1
Jrue Holiday,Boston,Celtics,Al Horford,12.94761075949367,5.265822784810126,0.5917721518987342,1.3512658227848098,5.73875,8,False,2
Jrue Holiday,Boston,Celtics,Jayson Tatum,10.202134404283797,5.817938420348057,0.8099062918340021,2.6613119143239627,0.9129777777777761,9,False,3
Jrue Holiday,Boston,Celtics,Luke Kornet,9.109251215387866,2.234939759036145,1.0210843373493976,0.2168674698795181,5.636359649122806,12,False,4
Jrue Holiday,Boston,Celtics,Torrey Craig,7.444571428571425,1.5888888888888886,-0.06666666666666671,0.9777777777777779,4.944571428571425,9,False,5
Julius Randle,Minnesota,Timberwolves,Naz Reid,22.784803141415715,7.047745358090184,1.3651635720601236,4.392572944297083,9.979321266968324,13,False,1
Julius Randle,Minnesota,Timberwolves,Terrence Shannon Jr.,21.46242951414782,6.794149512459371,1.3542795232936078,2.304442036836403,11.00955844155844,13,False,2
Julius Randle,Minnesota,Timberwolves,Jaden McDaniels,17.975451009664496,7.057044079515988,1.170267934312878,3.216076058772688,6.532062937062943,13,False,3
Julius Randle,Minnesota,Timberwolves,Jaylen Clark,16.721424380704043,4.664928292046936,0.3533246414602347,0.7249022164276402,10.978269230769232,13,False,4
Julius Randle,Minnesota,Timberwolves,Nickeil Alexander-Walker,15.00229020979021,3.4477095937770095,0.4606741573033708,1.014693171996543,10.079213286713287,13,False,5
Kawhi Leonard,Los Angeles,Clippers,Bogdan Bogdanovic,18.38133004926108,7.96551724137931,0.2512315270935961,0.6748768472906406,9.489704433497536,7,False,1
Kawhi Leonard,Los Angeles,Clippers,Ben Simmons,15.033055555555556,3.1999999999999997,1.4,2.05,8.383055555555558,5,False,2
Kawhi Leonard,Los Angeles,Clippers,Terance Mann,11.512857142857147,2.991071428571429,1.0,0.8214285714285716,6.700357142857147,28,False,3
